iso,year,n_support,lo_0.2,hi_0.2,med_0.2,width_0.2,lo_0.5,hi_0.5,med_0.5,width_0.5,lo_0.8,hi_0.8,med_0.8,width_0.8
NOR,2026,64,-0.8151,1.6727,-0.2611,2.4878,-0.7544,2.1278,0.6075,2.8822,-0.6971,2.7165,1.4963,3.4136
NOR,2027,64,-1.0765,1.515,-0.444,2.5915,-0.9546,1.9276,0.4074,2.8822,-0.8521,2.4561,1.2942,3.3082
NZL,2026,64,0.5319,1.9243,0.8089,1.3924,1.0432,2.2157,1.511,1.1725,1.4449,2.4516,1.6842,1.0066
NZL,2027,64,1.1856,2.3389,1.4855,1.1533,1.535,2.7075,2.0028,1.1725,1.8446,3.1053,2.2726,1.2607
POL,2026,64,0.8428,3.4991,2.0559,2.6564,1.2677,3.6291,2.7641,2.3613,1.852,3.862,3.2855,2.01
POL,2027,64,0.0053,2.7478,1.5163,2.7425,0.5756,2.937,2.072,2.3613,1.3174,3.0809,2.5713,1.7634
PRT,2026,64,2.4048,3.9193,3.1984,1.5145,2.7394,4.0886,3.5402,1.3491,3.0186,4.2615,3.8812,1.2429
PRT,2027,64,2.4583,3.9297,3.1596,1.4714,2.7336,4.0827,3.5343,1.3491,2.9896,4.2013,3.8053,1.2117
ROU,2026,64,-0.974,0.2374,-0.4932,1.2114,-0.7167,0.4534,-0.3295,1.1701,-0.5173,0.6225,-0.1106,1.1398
ROU,2027,64,1.1724,2.1739,1.6161,1.0014,1.4895,2.6596,1.8767,1.1701,1.8553,3.0999,2.063,1.2446
SVK,2026,64,-4.0,0.1203,-3.2501,4.1203,-3.9439,1.0283,-1.795,4.9722,-3.8975,1.9898,0.289,5.8873
SVK,2027,64,-3.1471,1.02,-2.4213,4.1671,-3.0668,1.9055,-0.9178,4.9722,-3.0213,2.7809,1.1679,5.8023
SVN,2026,64,-0.6444,2.163,0.3124,2.8073,-0.3715,2.8855,1.0677,3.257,-0.0706,3.5135,2.0696,3.5841
SVN,2027,64,-0.35,2.4218,0.5329,2.7718,-0.1264,3.1306,1.3128,3.257,0.1006,3.8079,2.2408,3.7073
SWE,2026,64,-0.7942,1.0679,-0.1404,1.8621,-0.574,1.5684,0.3716,2.1424,-0.3726,2.1091,1.2948,2.4817
SWE,2027,64,-0.6835,1.5276,0.1505,2.211,-0.2415,1.9009,0.7041,2.1424,0.1592,2.6408,1.4167,2.4817
TUR,2026,64,4.5019,5.0664,4.6902,0.5645,4.8746,5.2158,5.0063,0.3413,5.1736,5.388,5.25,0.2143
TUR,2027,64,5.3201,5.7178,5.497,0.3976,5.4984,5.8397,5.6302,0.3413,5.7001,5.9528,5.7741,0.2527
USA,2026,64,-0.1067,3.8689,1.1685,3.9757,0.2692,4.1137,2.1758,3.8444,0.6541,4.3147,3.231,3.6606
USA,2027,64,-0.3002,3.7032,1.0147,4.0034,0.1042,3.9487,2.0108,3.8444,0.5044,4.1676,3.0652,3.6632
