iso,year,n_support,lo_0.2,hi_0.2,med_0.2,width_0.2,lo_0.5,hi_0.5,med_0.5,width_0.5,lo_0.8,hi_0.8,med_0.8,width_0.8
MEX,2026,125,1.3553,2.9188,1.8243,1.5635,1.599,3.2542,2.3481,1.6553,1.9269,3.7942,2.915,1.8673
MEX,2027,125,2.0341,3.5162,2.5672,1.4822,2.2773,3.9326,3.0265,1.6553,2.5291,4.4416,3.5643,1.9125
NLD,2026,125,-1.0848,3.1334,0.3684,4.2182,-0.7098,4.1733,1.7044,4.8831,-0.4128,5.5739,2.8649,5.9867
NLD,2027,125,-0.858,3.4782,0.6977,4.3362,-0.4417,4.4414,1.9724,4.8831,-0.1409,5.9399,3.0912,6.0808
NOR,2026,125,-0.7762,1.8887,0.1128,2.6649,-0.596,2.3184,1.1056,2.9144,-0.3731,2.8236,2.0126,3.1967
NOR,2027,125,-1.0376,1.7336,-0.0444,2.7712,-0.7962,2.1182,0.9054,2.9144,-0.5642,2.5622,1.773,3.1265
NZL,2026,125,0.5536,2.4593,1.5902,1.9058,1.0872,3.0505,1.865,1.9633,1.4573,3.7622,2.2717,2.3048
NZL,2027,125,1.2073,2.8012,1.9648,1.5939,1.579,3.5423,2.3568,1.9633,1.857,4.4159,2.9308,2.5589
POL,2026,125,0.9388,4.3429,2.6386,3.4041,1.6589,5.7271,3.3777,4.0682,2.498,6.7272,3.862,4.2292
POL,2027,125,0.1014,3.7703,2.0715,3.6689,0.9668,5.035,2.6856,4.0682,1.7706,6.1919,3.0809,4.4213
PRT,2026,125,1.4331,3.935,2.8143,2.5019,2.0924,4.4976,3.39,2.4052,2.7366,5.1251,3.8615,2.3885
PRT,2027,125,1.373,3.9634,2.8678,2.5904,2.0866,4.4918,3.3841,2.4052,2.747,5.1048,3.8053,2.3578
ROU,2026,125,-0.9499,0.9116,-0.3327,1.8616,-0.6156,1.9216,0.0949,2.5372,-0.48,2.9109,0.6225,3.391
ROU,2027,125,1.2448,2.9958,1.7976,1.7511,1.5906,4.1278,2.3011,2.5372,1.917,5.3883,2.9769,3.4714
SVK,2026,125,-3.9808,1.4264,-2.7256,5.4073,-3.888,1.8136,-1.0878,5.7016,-3.7989,2.89,0.7315,6.6889
SVK,2027,125,-3.1065,2.3807,-1.8915,5.4871,-3.0109,2.6907,-0.2106,5.7016,-2.9256,3.7379,1.5837,6.6635
SVN,2026,125,-0.4833,3.6995,0.7053,4.1828,-0.1124,4.7601,1.9582,4.8725,0.0616,6.0713,3.4125,6.0096
SVN,2027,125,-0.2245,4.0048,0.9188,4.2293,0.1327,5.0052,2.2033,4.8725,0.2407,6.3656,3.7031,6.1249
SWE,2026,125,-0.7345,2.4796,0.1025,3.214,-0.4897,3.1461,1.0606,3.6358,-0.3129,3.6012,2.1091,3.9141
SWE,2027,125,-0.6237,2.7244,0.3962,3.3482,-0.1572,3.4786,1.3931,3.6358,0.1986,4.0516,2.5833,3.8531
TUR,2026,125,4.503,7.2037,5.05,2.7006,4.8878,9.3921,5.2158,4.5043,5.186,11.1581,5.388,5.9722
TUR,2027,125,5.3277,7.58,5.7178,2.2523,5.5116,10.0159,5.8397,4.5043,5.7032,11.9101,5.9528,6.2069
USA,2026,125,0.0394,4.4437,1.5721,4.4044,0.4754,4.7162,2.7796,4.2409,0.8002,5.0779,3.9172,4.2777
USA,2027,125,-0.1541,4.294,1.4115,4.4481,0.3104,4.5513,2.6146,4.2409,0.6505,4.8845,3.7534,4.234
