iso,year,IMF,OECD,EC,owa_0.1,owa_0.2,owa_0.3,owa_0.4,owa_0.5,owa_0.6,owa_0.7,owa_0.8,owa_0.9,mean,spread,range,most_opt,most_pes
IRL,2027,2.351,2.9496,3.4241,2.4675,2.5803,2.6911,2.8003,2.9082,3.0149,3.1203,3.2241,3.3259,2.9082,0.6439,1.0731,EC,IMF
ISL,2026,1.902,1.5929,1.714,1.6189,1.6468,1.6759,1.7057,1.7363,1.7676,1.7995,1.8323,1.8662,1.7363,0.1854,0.3091,IMF,OECD
ISL,2027,2.101,2.2035,2.3828,2.1235,2.1483,2.1743,2.2013,2.2291,2.2577,2.2871,2.3174,2.349,2.2291,0.1691,0.2818,EC,IMF
ITA,2026,0.521,0.5302,0.5455,0.523,0.5252,0.5275,0.5298,0.5322,0.5347,0.5373,0.5399,0.5426,0.5322,0.0147,0.0245,EC,IMF
ITA,2027,0.5,0.5689,0.5965,0.5127,0.5242,0.535,0.5453,0.5551,0.5645,0.5736,0.582,0.5899,0.5551,0.0579,0.0965,EC,IMF
JPN,2026,0.719,0.61,0.641,0.6174,0.6262,0.6358,0.646,0.6567,0.6678,0.6794,0.6916,0.7046,0.6567,0.0654,0.109,IMF,OECD
JPN,2027,0.623,0.7534,0.588,0.5975,0.6098,0.6237,0.6387,0.6548,0.6718,0.6898,0.709,0.7298,0.6548,0.0993,0.1654,OECD,EC
KOR,2026,1.862,2.6304,2.3,1.9468,2.0284,2.1082,2.1868,2.2641,2.3404,2.4156,2.4894,2.5615,2.2641,0.4611,0.7684,OECD,IMF
KOR,2027,2.124,1.9419,1.9,1.9121,1.9282,1.9467,1.967,1.9886,2.0118,2.0363,2.0626,2.0913,1.9886,0.1344,0.224,IMF,EC
LTU,2026,2.912,2.8404,2.9529,2.8539,2.8665,2.8786,2.8904,2.9018,2.9129,2.9237,2.9341,2.9439,2.9018,0.0675,0.1125,EC,OECD
LTU,2027,2.228,1.9606,2.0586,1.9821,2.0056,2.0304,2.056,2.0824,2.1095,2.1373,2.1661,2.196,2.0824,0.1604,0.2674,IMF,OECD
LUX,2026,1.592,0.7306,1.6301,0.8812,1.0078,1.1207,1.2235,1.3176,1.4034,1.4805,1.5475,1.6008,1.3176,0.5397,0.8995,EC,OECD
LUX,2027,1.66,1.2784,2.0236,1.3543,1.4296,1.5046,1.5794,1.654,1.7284,1.8027,1.8767,1.9504,1.654,0.4471,0.7452,EC,OECD
LVA,2026,2.218,1.8863,1.4459,1.5311,1.6132,1.6934,1.7723,1.8501,1.9267,2.0022,2.0764,2.1488,1.8501,0.4633,0.7721,IMF,EC
LVA,2027,2.373,2.2393,1.5532,1.6759,1.7824,1.8798,1.9704,2.0552,2.1344,2.2077,2.2743,2.3317,2.0552,0.4919,0.8198,IMF,EC
MEX,2026,1.639,0.8063,1.0,0.8567,0.9202,0.9911,1.0674,1.1484,1.2339,1.3242,1.4199,1.5229,1.1484,0.4996,0.8327,IMF,OECD
MEX,2027,2.186,1.7944,1.5,1.5614,1.6257,1.6916,1.7587,1.8268,1.8959,1.966,2.0373,2.1102,1.8268,0.4116,0.686,IMF,EC
NLD,2026,1.233,0.9783,0.9647,0.9738,0.9899,1.01,1.0331,1.0587,1.0867,1.1173,1.1509,1.1884,1.0587,0.161,0.2683,IMF,EC
NLD,2027,1.422,1.4389,1.1193,1.1723,1.217,1.2569,1.2933,1.3267,1.3573,1.3848,1.4088,1.428,1.3267,0.1918,0.3196,OECD,EC
NOR,2026,1.475,1.3086,1.3631,1.321,1.3351,1.3501,1.3659,1.3822,1.3992,1.4167,1.4349,1.4541,1.3822,0.0998,0.1664,IMF,OECD
NOR,2027,1.33,1.1694,1.0468,1.0724,1.099,1.1262,1.154,1.1821,1.2106,1.2395,1.2689,1.2989,1.1821,0.1699,0.2832,IMF,EC
NZL,2026,2.131,1.4079,2.0,1.5142,1.607,1.6921,1.7717,1.8463,1.9163,1.9814,2.0408,2.0927,1.8463,0.4339,0.7231,IMF,OECD
NZL,2027,2.383,2.2313,2.4,2.2581,2.281,2.3016,2.3206,2.3381,2.3543,2.3691,2.3822,2.3931,2.3381,0.1012,0.1687,EC,OECD
POL,2026,3.324,3.041,3.4697,3.094,3.1429,3.1897,3.2347,3.2782,3.3204,3.3611,3.4002,3.4369,3.2782,0.2572,0.4287,EC,OECD
