iso,round,target,IMF,OECD,EC,actual
IRL,autumn2021,2022,3.537945,5.679496,5.091872,7.511
ISL,autumn2021,2022,4.070214,5.237899,4.3011,8.857
ITA,autumn2021,2022,4.233343,4.619861,4.268919,4.821
JPN,autumn2021,2022,3.198511,3.414892,2.346962,1.332
KOR,autumn2021,2022,3.294614,3.031909,3.499998,2.728
LTU,autumn2021,2022,4.072484,3.753969,3.640771,2.444
LUX,autumn2021,2022,3.845057,3.69403,3.736685,-1.098
LVA,autumn2021,2022,5.2,3.596265,5.048421,1.909
MEX,autumn2021,2022,4.000524,3.277911,2.499969,3.71
NLD,autumn2021,2022,3.159554,3.239183,3.348977,5.007
NOR,autumn2021,2022,4.067609,4.556385,2.844574,4.08
NZL,autumn2021,2022,3.327713,3.929684,3.000011,2.616
POL,autumn2021,2022,5.085815,5.249004,5.228008,5.255
PRT,autumn2021,2022,5.1,5.821368,5.321266,6.986
ROU,autumn2021,2022,4.830094,4.467713,5.063654,4.188
SVK,autumn2021,2022,5.192024,4.995526,5.297092,0.545
SVN,autumn2021,2022,4.559169,5.399524,4.154242,2.669
SWE,autumn2021,2022,3.378436,3.446926,3.524602,1.255
TUR,autumn2021,2022,3.288146,3.291428,4.00494,5.441
USA,autumn2021,2022,5.197544,3.733076,4.459774,2.524
AUS,spring2022,2023,2.455151,2.461706,2.500027,2.135
AUT,spring2022,2023,3.0,1.399945,1.874019,-0.786
BEL,spring2022,2023,1.35563,1.039327,1.776624,1.714
BGR,spring2022,2023,4.5,2.302221,3.115259,1.682
CAN,spring2022,2023,2.753181,2.601172,2.500013,1.953
CHE,spring2022,2023,1.401558,1.333218,2.033969,0.875
CZE,spring2022,2023,4.218514,2.021826,2.672986,0.048
DEU,spring2022,2023,2.721283,1.709442,2.409032,-0.872
DNK,spring2022,2023,1.7,1.369365,1.845373,0.607
ESP,spring2022,2023,3.315007,2.160953,3.372968,2.461
EST,spring2022,2023,2.2,1.789109,2.385581,-2.744
FIN,spring2022,2023,1.747381,0.600597,1.66432,-1.289
FRA,spring2022,2023,1.356243,1.355073,1.769109,1.62
GBR,spring2022,2023,1.196662,0.021712,1.58595,0.272
GRC,spring2022,2023,2.564612,2.534119,3.064409,2.136
HUN,spring2022,2023,3.64,2.512837,2.566297,-0.817
IRL,spring2022,2023,4.998898,2.732233,4.434831,-2.536
ISL,spring2022,2023,2.324041,2.750138,3.288417,5.032
ITA,spring2022,2023,1.663208,1.154007,1.851291,0.923
JPN,spring2022,2023,2.315194,1.825357,1.846182,0.721
KOR,spring2022,2023,2.940716,2.529553,2.400001,1.583
LTU,spring2022,2023,2.590287,1.618473,2.551023,0.826
LUX,spring2022,2023,2.094962,2.067185,2.669785,0.099
LVA,spring2022,2023,2.351075,1.596291,2.886102,-0.942
MEX,spring2022,2023,2.502288,2.132583,2.600024,3.107
NLD,spring2022,2023,2.036866,1.135881,1.56825,-0.601
